tier,step,rows_in,rows_out,ts
agg,33.0,176740.0,176.0,2026/01/16-22:10:05.081
agg,34.0,483170.0,481.0,2026/01/16-22:10:06.004
agg,35.0,492480.0,491.0,2026/01/16-22:10:06.028
agg,36.0,220300.0,219.0,2026/01/16-22:10:06.042
agg,37.0,176730.0,176.0,2026/01/16-22:10:06.057
agg,38.0,176730.0,176.0,2026/01/16-22:10:06.073
agg,39.0,176730.0,176.0,2026/01/16-22:10:06.088
agg,40.0,176730.0,176.0,2026/01/16-22:10:07.004
agg,41.0,176730.0,176.0,2026/01/16-22:10:07.018
agg,42.0,176730.0,176.0,2026/01/16-22:10:07.034
agg,43.0,176730.0,176.0,2026/01/16-22:10:07.049
agg,44.0,176730.0,176.0,2026/01/16-22:10:07.064
agg,45.0,485510.0,484.0,2026/01/16-22:10:07.088
agg,46.0,490110.0,488.0,2026/01/16-22:10:08.011
agg,47.0,219850.0,217.0,2026/01/16-22:10:08.025
agg,48.0,176730.0,176.0,2026/01/16-22:10:08.040
agg,49.0,176730.0,176.0,2026/01/16-22:10:08.055
agg,50.0,176730.0,176.0,2026/01/16-22:10:08.070
agg,51.0,176730.0,176.0,2026/01/16-22:10:08.086
agg,52.0,176730.0,176.0,2026/01/16-22:10:09.001
agg,53.0,176730.0,176.0,2026/01/16-22:10:09.016
agg,54.0,176730.0,176.0,2026/01/16-22:10:09.032
agg,55.0,176730.0,176.0,2026/01/16-22:10:09.047
agg,56.0,482240.0,480.0,2026/01/16-22:10:09.075
agg,57.0,491360.0,490.0,2026/01/16-22:10:10.003
agg,58.0,220120.0,217.0,2026/01/16-22:10:10.018
agg,59.0,176740.0,176.0,2026/01/16-22:10:10.034
agg,60.0,176740.0,176.0,2026/01/16-22:10:10.050
agg,61.0,176740.0,176.0,2026/01/16-22:10:10.065
agg,62.0,176740.0,176.0,2026/01/16-22:10:10.081
agg,63.0,176740.0,176.0,2026/01/16-22:10:10.097
agg,64.0,176740.0,176.0,2026/01/16-22:10:11.012
agg,65.0,176740.0,176.0,2026/01/16-22:10:11.028
agg,66.0,176740.0,176.0,2026/01/16-22:10:11.044
agg,67.0,483170.0,481.0,2026/01/16-22:10:11.068
agg,68.0,489440.0,487.0,2026/01/16-22:10:11.096
agg,69.0,219780.0,218.0,2026/01/16-22:10:12.014
agg,70.0,176730.0,176.0,2026/01/16-22:10:12.030
agg,71.0,176730.0,176.0,2026/01/16-22:10:12.047
agg,72.0,176730.0,176.0,2026/01/16-22:10:12.063
agg,73.0,176730.0,176.0,2026/01/16-22:10:12.080
agg,74.0,176730.0,176.0,2026/01/16-22:10:12.096
agg,75.0,176730.0,176.0,2026/01/16-22:10:13.012
agg,76.0,176730.0,176.0,2026/01/16-22:10:13.027
agg,77.0,176730.0,176.0,2026/01/16-22:10:13.043
agg,78.0,481360.0,480.0,2026/01/16-22:10:13.070
agg,79.0,485240.0,483.0,2026/01/16-22:10:13.096
agg,80.0,219090.0,218.0,2026/01/16-22:10:14.014
agg,81.0,176720.0,176.0,2026/01/16-22:10:14.028
agg,82.0,176720.0,176.0,2026/01/16-22:10:14.043
agg,83.0,40960.0,40.0,2026/01/16-22:13:20.092
agg,84.0,40960.0,40.0,2026/01/16-22:13:21.005
agg,85.0,40960.0,40.0,2026/01/16-22:13:21.019
agg,86.0,40960.0,40.0,2026/01/16-22:13:21.032
agg,87.0,40960.0,40.0,2026/01/16-22:13:21.045
agg,88.0,40960.0,40.0,2026/01/16-22:13:21.058
agg,89.0,57360.0,56.0,2026/01/16-22:13:21.080
agg,90.0,65516.0,64.0,2026/01/16-22:13:22.004
agg,91.0,40960.0,40.0,2026/01/16-22:13:22.018
agg,92.0,40960.0,40.0,2026/01/16-22:13:22.030
agg,93.0,40960.0,40.0,2026/01/16-22:13:22.045
agg,94.0,40960.0,40.0,2026/01/16-22:13:22.059
agg,95.0,40960.0,40.0,2026/01/16-22:13:22.071
agg,96.0,40960.0,40.0,2026/01/16-22:13:22.085
agg,97.0,40960.0,40.0,2026/01/16-22:13:23.000
agg,98.0,40960.0,40.0,2026/01/16-22:13:23.012
agg,99.0,40960.0,40.0,2026/01/16-22:13:23.027
agg,100.0,57360.0,56.0,2026/01/16-22:13:23.053
agg,101.0,65516.0,64.0,2026/01/16-22:13:23.077
